Generation	75	;Maximum:p740=	{3.55, 2.95, 28.47, 5427.07, 179814.36, 74.56, 29.18, 652.35, 773418.85, 0.00}	fitness=1732.02
Generation	76	;Maximum:p751=	{4.04, 3.85, 28.47, 4188.19, 179814.36, 89.10, 72.38, 716.01, 773418.85, 0.01}	fitness=1667.58
Generation	77	;Maximum:p761=	{3.32, 4.31, 19.79, 4595.87, 135779.38, 73.62, 83.33, 639.14, 773418.85, 0.00}	fitness=1769.32
Generation	78	;Maximum:p770=	{3.33, 2.91, 21.80, 4188.19, 183333.60, 81.17, 35.07, 493.51, 779130.74, 0.01}	fitness=1786.58
Generation	79	;Maximum:p780=	{4.06, 3.67, 19.79, 4188.19, 190578.34, 63.59, 29.76, 504.34, 673446.53, 0.01}	fitness=1848.08
Generation	80	;Maximum:p790=	{4.83, 3.67, 18.06, 4030.73, 161187.02, 54.61, 29.76, 589.43, 673446.53, 0.01}	fitness=1697.42
Generation	81	;Maximum:p800=	{3.62, 3.44, 21.80, 4030.73, 189775.23, 56.23, 32.62, 421.27, 773418.85, 0.00}	fitness=1691.39
Generation	82	;Maximum:p810=	{3.95, 2.80, 17.62, 3977.05, 189775.23, 57.77, 32.62, 421.27, 845827.86, 0.00}	fitness=1737.95
Generation	83	;Maximum:p820=	{3.54, 4.30, 19.80, 4352.61, 265384.32, 56.58, 32.62, 436.84, 788043.19, 0.01}	fitness=1710.68
Generation	84	;Maximum:p830=	{2.63, 3.49, 21.80, 4806.07, 195722.73, 52.45, 31.60, 346.07, 773418.85, 0.00}	fitness=1627.49
Generation	85	;Maximum:p840=	{3.69, 4.10, 20.62, 4028.86, 175433.20, 59.91, 30.87, 378.29, 868774.45, 0.00}	fitness=1498.88
Generation	86	;Maximum:p850=	{2.63, 3.49, 20.00, 4328.46, 170873.90, 44.99, 27.89, 481.28, 768564.12, 0.01}	fitness=1619.62
Generation	87	;Maximum:p860=	{2.63, 4.48, 20.73, 4328.46, 255081.78, 49.76, 30.04, 339.88, 735389.91, 0.00}	fitness=1671.02
Generation	88	;Maximum:p870=	{4.36, 3.99, 20.22, 5465.36, 229290.14, 46.39, 27.89, 453.35, 735389.91, 0.00}	fitness=1661.59
Generation	89	;Maximum:p880=	{3.13, 5.61, 14.78, 4328.46, 198065.03, 56.82, 27.34, 308.12, 830145.76, 0.01}	fitness=1733.53
Generation	90	;Maximum:p890=	{3.02, 2.90, 16.62, 5912.78, 159291.00, 51.71, 22.38, 384.00, 853032.54, 0.00}	fitness=1703.45
Generation	91	;Maximum:p900=	{3.31, 2.98, 16.62, 5835.52, 228295.17, 62.56, 22.38, 392.33, 853032.54, 0.00}	fitness=1642.93
Generation	92	;Maximum:p910=	{3.02, 2.71, 13.30, 5331.47, 219039.77, 69.98, 19.38, 423.67, 501407.64, 0.00}	fitness=1613.81
Generation	93	;Maximum:p920=	{3.13, 2.67, 16.62, 5640.47, 185106.25, 52.63, 24.25, 231.78, 853032.54, 0.00}	fitness=1657.41
Generation	94	;Maximum:p930=	{2.46, 2.67, 16.68, 5261.51, 211191.05, 31.28, 18.38, 231.78, 501407.64, 0.00}	fitness=1427.79
Generation	95	;Maximum:p940=	{2.77, 2.67, 13.30, 5789.78, 239430.63, 29.48, 27.92, 224.25, 501407.64, 0.00}	fitness=1798.08
Generation	96	;Maximum:p950=	{2.57, 2.71, 16.68, 6738.83, 188784.87, 34.42, 27.40, 219.87, 501407.64, 0.00}	fitness=1655.80
Generation	97	;Maximum:p960=	{2.46, 2.24, 20.79, 5540.39, 185106.25, 24.24, 27.50, 199.26, 494436.16, 0.01}	fitness=1526.20
Generation	98	;Maximum:p971=	{2.52, 2.67, 13.37, 5640.47, 168488.18, 28.93, 29.25, 224.25, 501407.64, 0.00}	fitness=1614.09
Generation	99	;Maximum:p980=	{2.68, 2.15, 17.55, 6840.37, 185106.25, 24.97, 19.76, 199.26, 469654.00, 0.00}	fitness=1553.98
